Row Labels,Number of schools,Delivery Booked?,% schools booked that booked Bikeability,Levels 1 and 2 places attended (2020/21),Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020),Total Places attended (2020/21),No Delivery due to Covid
DL16,14,2,,15,0,0,15,
DL17,10,2,,19,0,0,19,
DL2,14,3,,43,0,99,142,
DL3,19,3,,0,8,159,167,
DL4,3,1,,26,0,0,26,
DL5,16,,,,,,0,
DL6,8,1,,18,0,0,18,
DL7,13,1,,38,12,0,50,
DL8,17,2,,19,0,0,19,
DN1,4,,,,,,0,
DN10,8,3,,99,0,12,111,
DN11,13,2,,58,0,12,70,
DN12,14,,,,,,0,
DN14,27,5,,40,0,0,40,
DN15,16,4,,156,0,36,192,
DN16,17,3,,154,0,1,155,
DN17,20,4,,68,0,2,70,
DN18,6,3,,51,0,1,52,
DN2,9,,,,,,0,
DN20,10,5,,96,0,2,98,
DN21,26,3,,15,0,56,71,
DN22,21,6,,105,0,24,129,
DN3,14,,,,,,0,
DN31,3,,,,,,0,
DN32,11,4,,54,0,0,54,
DN33,8,2,,73,0,0,73,
DN34,8,2,,10,0,0,10,
DN36,13,2,,103,0,0,103,
DN38,2,,,,,,0,
DN4,21,,,,,,0,
DN40,7,3,,30,0,0,30,
DN41,4,2,,44,0,0,44,
DN5,21,,,,,,0,
DN6,14,,,,,,0,
DN7,10,,,,,,0,
DN8,6,,,,,,0,
DN9,13,4,,112,0,2,114,
DT1,8,1,,6,0,0,6,
DT10,7,,,,,,0,
DT11,21,2,,25,0,0,25,
DT2,15,1,,7,4,0,11,
DT3,9,3,,73,0,0,73,
DT4,12,1,,7,0,0,7,
DT5,2,,,,,,0,
DT6,11,,,,,,0,
DT8,5,1,,17,0,0,17,
DT9,16,1,,12,0,0,12,
DY10,14,6,,53,0,0,53,
DY11,14,3,,62,0,0,62,
DY12,6,2,,52,0,0,52,
DY13,9,5,,119,0,0,119,
DY14,6,4,,13,0,0,13,
DY2,12,,,,,,0,
DY4,19,5,,37,0,0,37,
DY6,13,4,,21,0,0,21,
DY7,4,,,,,,0,
DY8,19,3,,1,0,36,37,
DY9,11,3,,124,0,0,124,
E1,41,,,,,,0,
E10,13,,,,,,0,
E11,12,,,,,,0,
E12,12,,,,,,0,
E13,16,,,,,,0,
E14,30,,,,,,0,
E15,20,,,,,,0,
E16,19,,,,,,0,
E17,39,,,,,,0,
E18,7,,,,,,0,
E1W,4,,,,,,0,
E2,26,,,,,,0,
E20,2,,,,,,0,
E3,21,,,,,,0,
E4,21,,,,,,0,
E5,22,,,,,,0,
E6,23,,,,,,0,
E7,21,,,,,,0,
E8,12,,,,,,0,
E9,15,,,,,,0,
EC1M,2,,,,,,0,
EC1N,1,,,,,,0,
EC1R,3,,,,,,0,
EC1V,4,,,,,,0,
EC1Y,1,,,,,,0,
EC2A,2,,,,,,0,
EC2Y,1,,,,,,0,
EC3A,1,,,,,,0,
EC3N,1,,,,,,0,
EC4M,1,,,,,,0,
EC4V,1,,,,,,0,
EN1,17,,,,,,0,
EN10,4,3,,28,0,0,28,
EN2,9,,,,,,0,
EN3,25,,,,,,0,
EN4,14,,,,,,0,
EN5,12,,,,,,0,
EN6,18,3,,58,0,0,58,
EN7,9,1,,24,0,0,24,
EN8,16,,,,,,0,
EN9,6,3,,132,24,0,156,
EX1,13,6,,124,0,0,124,
EX11,3,3,,85,0,0,85,
EX12,3,3,,41,0,0,41,
EX13,10,6,,22,0,0,22,
EX14,10,9,,105,0,7,112,
EX15,12,7,,132,0,0,132,
EX16,20,15,,85,24,0,109,
EX17,12,7,,101,0,0,101,
EX18,2,,,,,,0,
EX2,21,9,,102,39,1,142,
EX20,13,7,,197,0,1,198,
EX21,6,6,,23,0,0,23,
EX22,8,6,,39,0,10,49,
EX23,9,5,,102,0,0,102,
EX31,15,6,,43,110,0,153,
EX32,16,3,,40,0,0,40,
EX33,5,4,,14,0,0,14,
EX34,7,2,,24,0,0,24,
EX36,6,3,,85,0,0,85,
EX37,4,4,,17,0,0,17,
EX38,4,2,,30,6,0,36,
EX39,16,10,,159,0,2,161,
EX4,18,5,,131,26,100,257,
EX5,15,11,,133,0,3,136,
EX6,11,7,,63,0,0,63,
EX8,12,7,,84,0,0,84,
EX9,4,2,,42,0,0,42,
FY1,6,5,,59,0,0,59,
FY2,8,6,,21,0,32,53,
FY3,13,6,,106,0,70,176,
FY4,16,9,,126,0,78,204,
FY5,13,5,,88,0,0,88,
FY6,16,2,,82,0,0,82,
FY7,10,,,,,,0,
GL1,17,5,,67,0,0,67,
GL10,11,7,,42,0,0,42,
GL11,10,6,,66,0,0,66,
GL12,9,6,,61,0,0,61,
GL13,5,2,,12,0,0,12,
GL14,8,3,,39,0,0,39,
GL15,13,6,,69,0,0,69,
GL16,9,3,,25,0,0,25,
GL17,7,5,,34,0,0,34,
GL18,5,3,,26,0,0,26,
GL19,10,6,,39,0,0,39,
GL2,26,14,,286,31,0,317,
GL20,19,8,,55,0,0,55,
GL3,16,6,,24,18,0,42,
GL4,21,9,,176,0,0,176,
GL5,19,9,,60,0,0,60,
GL50,7,,,,,,0,
GL51,22,3,,111,0,0,111,
GL52,17,8,,123,6,0,129,
GL53,9,5,,146,28,0,174,
GL54,16,11,,109,0,0,109,
GL55,4,2,,15,0,0,15,
GL56,4,2,,41,0,0,41,
GL6,18,7,,99,0,0,99,
GL7,27,19,,168,0,0,168,
GL8,5,2,,27,0,0,27,
GL9,2,2,,9,0,0,9,
GU1,16,3,,71,0,0,71,
GU10,12,1,,32,0,0,32,
GU11,10,4,,81,0,0,81,
GU12,7,5,,133,0,0,133,
GU14,28,4,,57,0,0,57,
GU16,10,3,,42,0,0,42,
GU19,3,,,,,,0,
GU2,12,2,,70,0,0,70,
GU20,2,,,,,,0,
GU21,19,6,,60,0,0,60,
GU22,13,3,,60,0,0,60,
GU23,2,,,,,,0,
GU24,10,5,,79,0,0,79,
GU26,6,1,,20,0,0,20,
GU27,9,3,,52,0,0,52,
GU28,5,1,,9,0,0,9,
GU29,5,1,,40,0,0,40,
GU3,4,,,,,,0,
GU30,5,1,,90,0,0,90,
GU31,6,2,,17,0,0,17,
GU32,9,2,,29,0,0,29,
GU33,5,2,,92,0,0,92,
GU34,19,8,,113,0,0,113,
GU35,8,1,,29,0,0,29,
GU46,8,4,,155,0,0,155,
GU47,7,1,,6,0,0,6,
GU51,4,,,,,,0,
GU6,9,1,,49,0,0,49,
GU7,15,3,,123,0,0,123,
GU8,11,2,,12,0,0,12,
HA0,10,,,,,,0,
HA1,14,,,,,,0,
HA2,16,,,,,,0,
HA3,26,,,,,,0,
HA4,18,,,,,,0,
HA5,16,,,,,,0,
HA7,8,,,,,,0,
HA8,24,,,,,,0,
HA9,17,,,,,,0,
HD1,7,3,,112,0,71,183,
HD2,9,3,,88,8,87,183,
HD3,8,3,,183,0,0,183,
HD4,14,11,,274,45,32,351,
HD5,12,10,,296,10,0,306,
HD7,13,7,,146,0,36,182,
HD8,19,17,,381,24,158,563,
HD9,17,7,,232,67,54,353,
HG1,13,2,,56,0,0,56,
HG3,25,2,,15,0,0,15,
HG5,9,2,,52,0,0,52,
HP1,18,3,,26,0,0,26,
HP11,11,3,,47,24,0,71,
HP12,9,2,,46,0,0,46,
HP13,13,2,,12,0,0,12,
HP14,10,4,,30,0,0,30,
HP15,11,6,,128,0,52,180,
HP16,7,3,,74,0,0,74,
HP17,6,2,,0,0,30,30,
HP18,12,5,,30,0,0,30,
HP19,8,,,,,,0,
HP2,18,2,,52,0,0,52,
HP20,5,,,,,,0,
HP21,17,4,,84,0,0,84,
HP22,13,6,,120,0,0,120,
HP23,10,3,,59,0,0,59,
HP3,14,,,,,,0,
HP4,15,4,,75,10,0,85,
HP5,13,3,,24,0,0,24,
HP6,12,4,,52,0,0,52,
HP9,10,5,,72,0,0,72,
HR1,23,,,,,,0,
HR2,20,,,,,,0,
HR3,3,,,,,,0,
HR4,14,,,,,,0,
HR5,2,,,,,,0,
HR6,14,,,,,,0,
HR7,5,,,,,,0,
HR8,9,,,,,,0,
HR9,13,,,,,,0,
HU1,2,,,,,,0,
HU11,6,,,,,,0,
HU13,4,,,,,,0,
HU2,4,1,,26,0,0,26,
HU20,1,,,,,,0,
HU3,12,5,,98,0,44,142,
HU4,10,7,,300,20,130,450,
HU5,13,4,,282,0,12,294,
HU6,16,4,,39,20,0,59,
HU7,19,7,,371,0,10,381,
HU8,12,4,,349,0,75,424,
HU9,18,4,,108,0,112,220,
IG1,17,,,,,,0,
IG10,14,7,,180,24,35,239,
IG11,20,,,,,,0,
IG2,7,,,,,,0,
IG3,11,,,,,,0,
IG4,4,,,,,,0,
IG5,5,,,,,,0,
IG6,12,,,,,,0,
IG8,17,,,,,,0,
IG9,5,3,,95,6,0,101,
IP10,3,,,,,,0,
IP11,11,1,,24,0,0,24,
IP12,14,8,,30,0,0,30,
IP13,13,5,,12,0,0,12,
IP14,22,3,,21,0,0,21,
IP15,1,,,,,,0,
IP16,3,,,,,,0,
IP18,3,,,,,,0,
IP19,5,1,,12,0,0,12,
IP20,4,2,,30,0,0,30,
IP22,14,3,,29,0,12,41,
IP24,15,,,,,,0,
IP26,6,,,,,,0,
IP27,5,2,,84,0,0,84,
IP28,11,4,,144,0,0,144,
IP29,4,3,,59,0,0,59,
IP3,11,,,,,,0,
IP30,6,1,,19,0,0,19,
IP31,11,5,,43,0,0,43,
IP32,10,2,,53,0,0,53,
IP33,12,6,,21,0,0,21,
IP4,14,4,,73,15,0,88,
IP6,7,,,,,,0,
IP7,12,6,,61,0,0,61,
IP8,8,1,,12,0,0,12,
IP9,10,3,,49,0,0,49,
KT1,6,,,,,,0,
KT12,11,5,,102,0,0,102,
KT13,7,4,,113,0,0,113,
KT14,5,3,,44,0,0,44,
KT15,12,3,,41,0,0,41,
KT16,11,3,,38,0,0,38,
KT17,10,4,,154,0,0,154,
KT19,11,5,,156,0,0,156,
KT2,19,,,,,,0,
KT21,6,2,,110,0,0,110,
KT22,14,3,,80,0,0,80,
KT23,5,3,,107,0,0,107,
KT24,5,2,,91,0,0,91,
KT3,14,,,,,,0,
KT4,8,1,,21,0,0,21,
KT5,4,,,,,,0,
KT6,14,,,,,,0,
KT7,6,3,,106,0,0,106,
KT8,7,2,,78,0,0,78,
KT9,7,,,,,,0,
L1,5,,,,,,0,
L10,5,,,,,,0,
L11,11,2,,30,0,0,30,
L12,14,5,,125,43,0,168,
L13,13,3,,39,0,0,39,
L14,9,1,,7,0,0,7,
L15,14,2,,32,0,0,32,
L16,4,1,,55,0,0,55,
L17,9,,,,,,0,
L18,9,,,,,,0,
L19,9,,,,,,0,
L20,12,1,,45,0,0,45,
L21,11,2,,28,0,0,28,
L22,3,,,,,,0,
L23,20,1,,22,22,0,44,
L24,5,,,,,,0,
L25,14,3,,119,0,0,119,
L27,3,,,,,,0,
L28,4,,,,,,0,
L3,3,,,,,,0,
L30,9,2,,44,0,0,44,
L31,15,2,,57,0,0,57,
L32,9,,,,,,0,
L33,6,,,,,,0,
L34,7,3,,52,0,0,52,
L35,13,2,,28,0,0,28,
L36,17,2,,63,0,0,63,
L37,9,3,,169,0,0,169,
L39,16,5,,173,0,0,173,
L4,13,1,,5,0,0,5,
L40,18,5,,117,0,0,117,
L5,9,1,,12,0,0,12,
L69,1,,,,,,0,
L7,10,,,,,,0,
L8,15,2,,30,0,0,30,
L9,12,,,,,,0,
LA1,23,6,,222,30,60,312,
LA10,4,1,,22,0,0,22,
LA11,10,4,,62,0,0,62,
LA12,12,5,,97,0,0,97,
LA13,12,3,,18,0,0,18,
LA14,21,9,,203,0,0,203,
LA15,5,1,,9,0,0,9,
LA16,2,,,,,,0,
LA17,1,1,,12,0,0,12,
LA18,7,2,,18,0,0,18,
LA19,2,,,,,,0,
LA2,20,6,,62,8,0,70,
LA20,1,1,,25,0,0,25,
LA21,2,,,,,,0,
LA22,4,2,,9,0,0,9,
LA23,5,2,,77,0,0,77,
LA3,10,3,,60,0,0,60,
LA4,8,3,,292,0,0,292,
LA5,11,6,,170,0,0,170,
LA6,13,4,,31,0,0,31,
LA7,5,1,,50,0,0,50,
LA8,8,5,,36,0,0,36,
LA9,16,5,,76,0,0,76,
LE1,3,,,,,,0,
LE11,27,3,,48,0,0,48,
LE12,31,4,,133,0,0,133,
LE13,10,1,,22,0,0,22,
LE14,14,,,,,,0,
LE15,25,11,,149,17,0,166,
LE16,18,8,,154,35,0,189,
LE17,13,2,,36,0,0,36,
LE18,15,1,,22,0,0,22,
LE19,6,2,,65,0,0,65,
LE2,39,4,,158,0,0,158,
LE3,33,4,,286,0,0,286,
LE4,36,9,,155,0,0,155,
LE5,42,2,,79,0,0,79,
LE6,6,1,,25,0,0,25,
LE65,9,1,,11,0,0,11,
LE67,30,2,,7,0,0,7,
LE7,22,3,,61,0,0,61,
LE8,14,,,,,,0,
LE9,26,1,,21,0,0,21,
LN1,13,4,,101,0,0,101,
LN10,4,1,,20,0,0,20,
LN11,18,,,,,,0,
LN12,4,,,,,,0,
LN13,6,,,,,,0,
LN2,19,4,,154,0,38,192,
LN3,5,2,,35,0,0,35,
LN4,20,6,,127,0,0,127,
LN5,17,6,,97,0,24,121,
LN6,33,9,,211,0,0,211,
LN7,5,1,,35,0,0,35,
LN8,10,3,,40,0,0,40,
LN9,6,1,,9,0,0,9,
LS10,18,8,,377,0,103,480,
LS11,16,3,,26,0,75,101,
LS12,15,3,,54,0,97,151,
LS13,12,2,,53,0,0,53,
LS14,14,3,,103,0,56,159,
LS15,13,3,,90,0,72,162,
LS16,16,7,,275,0,74,349,
LS17,22,8,,405,110,21,536,
LS18,9,2,,92,0,1,93,
LS19,8,2,,87,0,0,87,
LS2,1,1,,60,0,9,69,
LS20,5,1,,45,0,0,45,
LS21,8,4,,114,0,5,119,
LS22,7,2,,56,0,0,56,
LS23,8,2,,52,0,0,52,
LS25,17,8,,151,0,30,181,
LS26,11,4,,122,0,49,171,
LS27,12,4,,168,0,53,221,
LS28,18,5,,177,0,138,315,
LS29,13,3,,30,0,0,30,
LS3,1,,,,,,0,
LS4,4,2,,57,0,13,70,
LS5,2,,,,,,0,
LS6,9,2,,61,0,1,62,
LS7,10,2,,73,0,72,145,
LS8,12,3,,36,0,160,196,
LS9,17,3,,0,0,210,210,
LU1,24,2,,84,0,0,84,
LU2,19,4,,75,0,0,75,
LU3,23,3,,108,0,116,224,
LU4,21,3,,77,0,0,77,
LU5,22,6,,84,0,0,84,
LU6,15,6,,92,0,0,92,
LU7,26,16,,586,35,90,711,
M11,13,7,,44,0,0,44,
M12,12,3,,52,0,0,52,
M13,10,2,,58,0,0,58,
M14,12,8,,75,0,0,75,
M15,8,1,,285,0,0,285,
M16,16,5,,166,0,55,221,
M18,10,,,,,,0,
M19,11,2,,27,0,0,27,
M2,1,,,,,,0,
M20,18,5,,89,0,0,89,
M21,14,3,,63,0,0,63,
M23,13,4,,81,0,30,111,
M24,21,3,,48,30,0,78,
M26,13,4,,108,0,0,108,
M27,18,4,,34,0,0,34,
M28,17,6,,54,0,118,172,
M29,9,3,,60,0,0,60,
M3,3,,,,,,0,
M30,21,4,,112,0,0,112,
M31,5,,,,,,0,
M32,13,1,,56,0,0,56,
M33,24,1,,22,0,0,22,
M34,19,6,,229,0,0,229,
M35,11,3,,150,0,64,214,
M40,21,2,,61,0,0,61,
M41,20,,,,,,0,
M43,9,,,,,,0,
M44,9,2,,64,0,0,64,
M45,10,2,,73,0,45,118,
M46,11,1,,28,0,0,28,
M5,6,,,,,,0,
M50,2,,,,,,0,
M6,13,,,,,,0,
M7,34,,,,,,0,
M8,15,3,,62,0,186,248,
M9,19,6,,65,0,37,102,
ME1,18,1,,31,0,0,31,
ME10,21,6,,44,0,186,230,
ME11,1,,,,,,0,
ME12,11,,,,,,0,
ME13,15,8,,229,0,0,229,
ME14,12,5,,149,0,88,237,
ME16,17,1,,15,0,0,15,
ME17,15,4,,84,0,0,84,
ME18,4,1,,24,0,0,24,
ME19,13,,,,,,0,
ME2,19,4,,49,0,0,49,
ME20,9,2,,58,0,0,58,
ME3,12,6,,36,0,60,96,
ME4,16,1,,16,0,0,16,
ME5,18,6,,64,0,0,64,
ME6,4,2,,50,0,0,50,
ME7,17,4,,20,0,0,20,
ME8,18,5,,82,0,0,82,
ME9,16,8,,166,0,0,166,
MK10,7,3,,156,0,3,159,
MK11,3,,,,,,0,
MK12,7,,,,,,0,
MK13,7,,,,,,0,
MK15,1,,,,,,0,
MK16,8,1,,60,0,4,64,
MK17,16,4,,92,25,10,127,
MK18,21,6,,41,0,0,41,
MK2,7,1,,24,0,0,24,
MK3,14,2,,37,0,0,37,
MK4,6,,,,,,0,
MK40,13,5,,115,0,0,115,
MK41,18,7,,65,0,0,65,
MK42,25,10,,91,0,0,91,
MK43,20,6,,61,0,5,66,
MK44,14,9,,162,0,15,177,
MK45,23,12,,169,0,35,204,
MK46,3,,,,,,0,
MK5,8,1,,30,0,2,32,
MK7,6,,,,,,0,
MK8,8,3,,39,0,0,39,
MK9,1,,,,,,0,
N1,38,,,,,,0,
N10,13,,,,,,0,
N11,14,,,,,,0,
N12,13,,,,,,0,
N13,7,,,,,,0,
N14,17,,,,,,0,
N15,18,,,,,,0,
N16,42,,,,,,0,
N17,27,,,,,,0,
N18,7,,,,,,0,
N19,10,,,,,,0,
N1C,3,,,,,,0,
N2,8,,,,,,0,
N20,10,,,,,,0,
N21,9,,,,,,0,
N22,17,,,,,,0,
N3,11,,,,,,0,
N4,13,,,,,,0,
N5,9,,,,,,0,
N6,8,,,,,,0,
N7,14,,,,,,0,
N8,16,,,,,,0,
N9,18,,,,,,0,
NE1,1,,,,,,0,
NE10,18,8,,126,0,0,126,
NE11,6,,,,,,0,
NE12,16,4,,124,0,0,124,
NE15,18,5,,0,0,20,20,
NE16,11,5,,162,0,0,162,
NE17,1,,,,,,0,
NE19,1,,,,,,0,
NE20,6,,,,,,0,
NE25,17,5,,134,0,0,134,
NE27,5,1,,19,0,0,19,
NE28,17,7,,167,0,0,167,
NE29,13,7,,129,0,0,129,
NE3,23,12,,73,0,30,103,
NE30,9,3,,78,0,0,78,
NE31,10,2,,101,0,0,101,
NE32,14,6,,189,0,0,189,
NE33,8,3,,131,0,0,131,
NE34,19,6,,284,0,0,284,
NE35,3,1,,29,0,0,29,
NE36,4,1,,55,0,0,55,
NE38,16,6,,23,0,5,28,
NE39,4,1,,34,0,0,34,
NE40,7,3,,60,0,0,60,
NE41,1,,,,,,0,
NE42,8,1,,56,0,0,56,
NE43,3,,,,,,0,
NE44,1,,,,,,0,
NE45,2,,,,,,0,
NE46,10,1,,31,7,0,38,
NE47,8,,,,,,0,
NE48,6,,,,,,0,
NE49,1,1,,17,0,0,17,
NE5,17,3,,6,0,0,6,
NE6,17,5,,0,0,40,40,
NE61,20,2,,0,0,101,101,
NE62,5,3,,82,0,0,82,
NE63,10,1,,23,0,0,23,
NE65,12,,,,,,0,
NE66,11,,,,,,0,
NE67,1,,,,,,0,
NE68,1,,,,,,0,
NE70,1,,,,,,0,
NE8,18,2,,82,0,0,82,
NE9,17,6,,246,0,0,246,
NG10,19,6,,219,33,0,252,
NG11,14,4,,60,0,12,72,
NG12,17,5,,123,12,0,135,
NG13,12,4,,132,0,0,132,
NG14,10,4,,108,0,48,156,
NG15,16,7,,168,6,24,198,
NG16,33,15,,420,0,303,723,
NG17,30,4,,162,0,0,162,
NG18,15,5,,150,12,120,282,
NG19,27,6,,279,12,48,339,
NG2,21,6,,168,0,0,168,
NG20,17,5,,41,0,84,125,
NG21,10,4,,102,0,48,150,
NG22,16,4,,81,36,60,177,
NG24,19,5,,198,0,0,198,
NG25,4,1,,60,0,0,60,
NG3,18,7,,78,0,9,87,
NG31,27,7,,151,21,0,172,
NG32,9,3,,48,0,0,48,
NG33,9,3,,38,0,0,38,
NG34,19,4,,81,0,0,81,
NG4,19,5,,216,0,24,240,
NG5,39,9,,183,0,24,207,
NG6,14,5,,0,0,30,30,
NG9,26,9,,240,0,12,252,
NN1,11,4,,71,0,0,71,
NN10,14,5,,67,0,0,67,
NN11,19,13,,146,0,0,146,
NN12,18,9,,55,0,0,55,
NN13,12,5,,73,0,0,73,
NN14,23,11,,176,0,0,176,
NN15,20,4,,47,0,0,47,
NN16,9,2,,24,0,0,24,
NN17,13,3,,22,9,14,45,
NN18,15,2,,23,0,0,23,
NN2,19,4,,40,0,0,40,
NN29,6,5,,73,0,0,73,
NN3,31,7,,70,0,0,70,
NN4,18,7,,149,0,0,149,
NN5,14,6,,66,0,0,66,
NN6,26,12,,135,0,0,135,
NN7,22,12,,105,0,0,105,
NN8,23,5,,75,0,0,75,
NN9,11,6,,19,0,9,28,
NP16,4,1,,56,0,0,56,
NP25,1,1,,4,0,0,4,
NR1,11,4,,12,6,24,42,
NR10,13,2,,24,0,0,24,
NR12,17,1,,28,0,0,28,
NR13,13,1,,24,0,0,24,
NR14,15,5,,107,0,0,107,
NR19,11,3,,96,0,25,121,
NR2,13,4,,158,36,24,218,
NR20,9,3,,60,0,0,60,
NR21,10,,,,,,0,
NR22,1,,,,,,0,
NR23,2,,,,,,0,
NR24,1,1,,0,36,0,36,
NR25,4,1,,5,0,0,5,
NR26,3,,,,,,0,
NR27,8,,,,,,0,
NR28,5,,,,,,0,
NR29,11,4,,24,0,36,60,
NR3,10,,,,,,0,
NR30,11,1,,11,0,0,11,
NR31,20,7,,9,0,0,9,
NR32,17,1,,9,0,0,9,
NR33,14,3,,10,0,0,10,
NR34,14,6,,78,0,0,78,
NR4,11,4,,121,0,48,169,
NR5,12,5,,96,0,10,106,
NR6,12,2,,48,0,30,78,
NR8,9,5,,72,48,90,210,
NR9,12,6,,111,14,0,125,
NW1,23,,,,,,0,
NW10,32,,,,,,0,
NW11,15,,,,,,0,
NW2,20,,,,,,0,
NW3,38,,,,,,0,
NW4,18,,,,,,0,
NW5,14,,,,,,0,
NW6,28,,,,,,0,
NW7,18,,,,,,0,
NW8,13,,,,,,0,
NW9,23,,,,,,0,
OL1,12,5,,210,0,48,258,
OL10,11,5,,123,0,0,123,
OL11,17,3,,44,0,100,144,
OL12,28,4,,121,0,57,178,
OL13,10,3,,120,0,0,120,
OL15,5,2,,40,0,0,40,
OL16,17,5,,214,0,27,241,
OL2,21,6,,60,0,92,152,
OL3,9,4,,97,0,76,173,
OL4,19,1,,0,0,30,30,
OL5,6,3,,75,0,0,75,
OL6,19,3,,102,0,0,102,
OL7,6,2,,85,0,0,85,
OL8,22,7,,238,28,178,444,
OL9,22,7,,383,34,213,630,
OX1,11,,,,,,0,
OX10,16,5,,177,14,0,191,
OX11,18,8,,233,100,0,333,
OX12,13,,,,,,0,
OX13,9,1,,27,0,0,27,
OX14,25,1,,7,0,0,7,
OX15,15,2,,57,0,0,57,
OX16,21,2,,30,0,0,30,
OX17,11,6,,100,0,0,100,
OX18,13,4,,59,32,0,91,
OX2,20,,,,,,0,
OX20,4,2,,41,9,0,50,
OX25,3,,,,,,0,
OX26,17,2,,15,0,0,15,
OX27,4,1,,10,0,0,10,
OX28,12,7,,89,6,0,95,
OX29,17,5,,105,0,0,105,
OX3,22,5,,114,0,0,114,
OX33,6,2,,20,0,0,20,
OX39,2,,,,,,0,
OX4,26,6,,192,0,15,207,
OX44,6,,,,,,0,
OX49,4,,,,,,0,
OX5,12,5,,123,0,0,123,
OX7,17,6,,63,0,0,63,
OX9,5,1,,18,18,0,36,
PE1,22,7,,22,0,0,22,
PE10,10,3,,119,36,0,155,
PE11,24,6,,97,0,7,104,
