Row Labels,Number of schools,Delivery Booked?,% schools booked that booked Bikeability,Levels 1 and 2 places attended (2020/21),Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020),Total Places attended (2020/21),No Delivery due to Covid
PE12,21,5,,74,0,40,114,
PE13,22,6,,31,0,0,31,
PE14,17,3,,42,0,0,42,
PE15,9,6,,139,0,0,139,
PE19,21,13,,219,0,0,219,
PE2,20,11,,171,0,0,171,
PE20,5,,,,,,0,
PE21,19,1,,40,0,0,40,
PE22,12,4,,83,0,0,83,
PE23,8,,,,,,0,
PE24,4,1,,55,0,0,55,
PE25,9,3,,106,0,0,106,
PE26,6,4,,90,0,0,90,
PE27,6,3,,72,0,0,72,
PE28,22,14,,150,0,0,150,
PE29,14,5,,75,0,0,75,
PE3,14,4,,34,0,0,34,
PE31,12,1,,9,0,0,9,
PE32,12,4,,81,22,0,103,
PE33,9,1,,18,0,0,18,
PE34,12,3,,32,0,0,32,
PE36,3,,,,,,0,
PE37,6,,,,,,0,
PE38,7,3,,12,0,0,12,
PE4,10,4,,29,0,0,29,
PE5,1,1,,22,0,0,22,
PE6,17,8,,219,0,0,219,
PE7,18,10,,74,13,0,87,
PE8,11,6,,62,0,0,62,
PE9,15,4,,46,0,0,46,
PL1,14,7,,258,0,135,393,
PL10,2,1,,0,0,12,12,
PL11,5,3,,31,0,18,49,
PL12,10,8,,186,0,36,222,
PL13,5,3,,113,0,57,170,
PL14,16,12,,241,16,145,402,
PL15,17,13,,178,0,162,340,
PL16,1,,,,,,0,
PL17,4,2,,78,0,12,90,
PL18,3,2,,24,0,36,60,
PL19,11,6,,136,0,29,165,
PL2,11,4,,113,0,109,222,
PL20,7,5,,18,0,11,29,
PL21,10,5,,60,0,9,69,
PL22,3,,,,,,0,
PL23,3,,,,,,0,
PL24,4,1,,137,0,0,137,
PL25,9,3,,267,0,0,267,
PL26,12,3,,127,0,34,161,
PL27,6,3,,122,0,3,125,
PL28,2,1,,46,0,20,66,
PL29,1,1,,11,0,0,11,
PL3,8,4,,162,0,103,265,
PL30,13,5,,126,0,68,194,
PL31,7,1,,36,0,0,36,
PL32,3,1,,20,0,10,30,
PL33,1,,,,,,0,
PL34,1,1,,9,0,10,19,
PL35,1,1,,10,0,0,10,
PL4,10,3,,54,117,77,248,
PL5,22,13,,374,29,173,576,
PL6,19,7,,359,0,189,548,
PL7,13,9,,128,5,202,335,
PL8,4,4,,59,0,0,59,
PL9,10,9,,306,0,177,483,
PO10,8,3,,59,0,0,59,
PO11,5,2,,36,0,0,36,
PO12,16,6,,200,0,0,200,
PO13,16,6,,124,0,0,124,
PO14,19,6,,140,65,0,205,
PO15,6,3,,46,0,0,46,
PO16,11,5,,252,0,0,252,
PO17,3,1,,27,0,0,27,
PO18,12,2,,35,0,0,35,
PO19,15,2,,66,0,0,66,
PO2,16,6,,69,0,0,69,
PO20,14,1,,14,0,0,14,
PO21,10,2,,105,0,0,105,
PO22,7,1,,90,0,0,90,
PO3,6,1,,72,0,0,72,
PO30,17,,,,,,0,
PO31,5,,,,,,0,
PO32,3,,,,,,0,
PO33,10,,,,,,0,
PO34,1,,,,,,0,
PO35,1,,,,,,0,
PO36,4,,,,,,0,
PO37,2,,,,,,0,
PO38,6,,,,,,0,
PO39,1,,,,,,0,
PO4,12,4,,102,0,0,102,
PO40,1,,,,,,0,
PO41,1,,,,,,0,
PO5,8,4,,40,0,0,40,
PO7,18,7,,122,0,0,122,
PO8,14,2,,139,0,0,139,
PO9,20,3,,39,0,0,39,
PR1,38,13,,43,0,15,58,
PR2,37,14,,196,0,30,226,
PR25,18,8,,29,0,98,127,
PR26,7,5,,97,0,16,113,
PR3,37,9,,157,30,54,241,
PR4,40,15,,186,0,30,216,
PR5,23,13,,129,0,56,185,
PR6,21,14,,335,0,140,475,
PR7,34,17,,434,12,134,580,
PR8,16,2,,28,0,0,28,
PR9,15,4,,94,0,0,94,
RG1,19,2,,0,0,3,3,
RG10,11,7,,201,24,0,225,
RG12,17,2,,20,0,0,20,
RG17,8,3,,91,0,0,91,
RG2,23,4,,30,0,0,30,
RG20,22,7,,96,0,0,96,
RG21,15,6,,174,0,0,174,
RG22,16,3,,132,0,0,132,
RG24,13,3,,161,0,0,161,
RG25,4,4,,33,0,0,33,
RG26,9,4,,101,0,0,101,
RG27,11,3,,54,0,0,54,
RG28,2,,,,,,0,
RG29,5,2,,37,0,0,37,
RG30,21,6,,170,24,30,224,
RG4,21,7,,179,111,10,300,
RG40,21,6,,179,9,4,192,
RG41,14,5,,99,0,0,99,
RG42,13,2,,29,0,0,29,
RG45,8,1,,11,0,0,11,
RG5,12,5,,11,5,0,16,
RG6,8,4,,101,0,0,101,
RG7,26,9,,87,12,0,99,
RG8,13,3,,50,0,0,50,
RG9,13,1,,17,0,0,17,
RH1,18,4,,34,0,0,34,
RH10,24,6,,319,0,0,319,
RH11,18,3,,96,0,0,96,
RH12,22,3,,128,0,0,128,
RH13,23,4,,100,0,0,100,
RH14,6,,,,,,0,
RH15,12,4,,235,0,0,235,
RH16,12,,,,,,0,
RH17,18,2,,56,0,0,56,
RH18,3,,,,,,0,
RH19,15,2,,20,0,0,20,
RH2,15,,,,,,0,
RH20,11,1,,18,0,0,18,
RH4,9,3,,150,0,0,150,
RH5,10,,,,,,0,
RH6,12,3,,71,0,0,71,
RH8,9,3,,33,0,0,33,
RH9,2,1,,20,0,0,20,
RM1,13,,,,,,0,
RM10,13,,,,,,0,
RM11,11,,,,,,0,
RM12,12,,,,,,0,
RM13,11,,,,,,0,
RM14,13,,,,,,0,
RM15,11,5,,51,0,0,51,
RM16,16,8,,144,0,43,187,
RM17,8,4,,92,0,3,95,
RM18,5,4,,7,0,34,41,
RM2,6,,,,,,0,
RM3,14,,,,,,0,
RM4,3,,,,,,0,
RM5,3,,,,,,0,
RM6,13,,,,,,0,
RM7,7,,,,,,0,
RM8,13,,,,,,0,
RM9,14,,,,,,0,
S1,1,,,,,,0,
S10,15,3,,206,0,0,206,
S11,10,3,,128,0,10,138,
S12,10,,,,,,0,
S13,10,2,,94,0,12,106,
S14,2,,,,,,0,
S17,6,1,,30,0,0,30,
S18,14,6,,354,0,121,475,
S2,18,1,,48,0,4,52,
S20,11,1,,71,0,0,71,
S21,11,2,,3,0,0,3,
S25,10,2,,56,0,0,56,
S26,14,,,,,,0,
S3,6,,,,,,0,
S32,5,2,,19,0,0,19,
S33,7,3,,0,38,38,76,
S35,19,5,,147,0,8,155,
S36,13,7,,160,0,0,160,
S4,6,,,,,,0,
S40,14,8,,373,7,86,466,
S41,18,11,,246,25,59,330,
S42,10,5,,150,2,7,159,
S43,21,5,,93,2,24,119,
S44,12,3,,115,1,3,119,
S45,6,2,,102,0,8,110,
S5,19,,,,,,0,
S6,16,1,,44,0,0,44,
S60,18,1,,26,0,0,26,
S61,15,,,,,,0,
S62,12,1,,20,0,0,20,
S63,18,1,,0,0,46,46,
S64,13,,,,,,0,
S66,18,,,,,,0,
S7,9,1,,40,0,0,40,
S70,15,2,,22,238,0,260,
S71,17,3,,65,0,0,65,
S72,10,1,,22,0,0,22,
S73,10,4,,88,0,0,88,
S74,8,4,,21,80,85,186,
S75,18,4,,75,0,53,128,
S8,14,3,,95,0,10,105,
S80,13,5,,235,0,36,271,
S81,14,5,,222,0,66,288,
S9,13,1,,60,0,0,60,
SE1,27,,,,,,0,
SE10,9,,,,,,0,
SE11,14,,,,,,0,
SE12,10,,,,,,0,
SE13,8,,,,,,0,
SE14,10,,,,,,0,
SE15,28,,,,,,0,
SE16,19,,,,,,0,
SE17,12,,,,,,0,
SE18,27,,,,,,0,
SE19,12,,,,,,0,
SE2,8,,,,,,0,
SE20,6,,,,,,0,
SE21,11,,,,,,0,
SE22,11,,,,,,0,
SE23,14,,,,,,0,
SE24,8,,,,,,0,
SE25,13,,,,,,0,
SE26,10,,,,,,0,
SE27,6,,,,,,0,
SE28,11,,,,,,0,
SE3,18,,,,,,0,
SE4,9,,,,,,0,
SE5,18,,,,,,0,
SE6,18,,,,,,0,
SE7,9,,,,,,0,
SE8,12,,,,,,0,
SE9,29,,,,,,0,
SG10,2,,,,,,0,
SG13,10,4,,34,0,0,34,
SG16,4,3,,37,0,0,37,
SG17,6,3,,56,0,0,56,
SG18,12,4,,39,0,0,39,
SG19,12,4,,20,0,0,20,
SG2,22,3,,14,0,0,14,
SG3,3,,,,,,0,
SG4,19,8,,97,0,0,97,
SG5,17,8,,111,0,0,111,
SG6,17,4,,37,0,0,37,
SG7,8,,,,,,0,
SG8,22,9,,118,0,0,118,
SK1,5,,,,,,0,
SK10,22,8,,327,46,46,419,
SK11,17,3,,115,0,0,115,
SK12,9,1,,110,0,0,110,
SK13,20,6,,84,0,0,84,
SK14,22,3,,74,0,0,74,
SK15,14,4,,144,0,0,144,
SK16,11,2,,77,0,0,77,
SK17,26,5,,48,4,89,141,
SK2,11,1,,29,0,0,29,
SK22,9,6,,76,0,0,76,
SK23,10,2,,23,0,29,52,
SK3,15,3,,33,0,0,33,
SK4,19,6,,146,0,0,146,
SK5,14,1,,30,0,0,30,
SK6,21,4,,118,0,0,118,
SK7,15,5,,132,0,0,132,
SK8,32,4,,48,60,0,108,
SK9,16,6,,262,65,1,328,
SL0,4,1,,23,0,0,23,
SL1,29,2,,36,0,0,36,
SL3,21,,,,,,0,
SL4,30,1,,23,0,0,23,
SL5,15,,,,,,0,
SL6,42,7,,268,0,0,268,
SL7,12,2,,24,0,0,24,
SL8,3,1,,24,0,0,24,
SL9,10,3,,96,0,0,96,
SM1,11,,,,,,0,
SM3,9,,,,,,0,
SM4,12,,,,,,0,
SM5,18,,,,,,0,
SM6,15,,,,,,0,
SM7,8,2,,38,0,0,38,
SN1,9,3,,96,0,0,96,
SN10,20,4,,107,0,0,107,
SN12,11,3,,43,0,0,43,
SN13,7,6,,18,0,0,18,
SN14,14,9,,80,18,0,98,
SN15,17,12,,73,0,0,73,
SN16,8,6,,80,0,0,80,
SN2,15,1,,23,0,0,23,
SN25,18,5,,141,0,0,141,
SN26,1,,,,,,0,
SN3,23,2,,49,0,0,49,
SN4,12,2,,12,0,0,12,
SN5,14,4,,78,0,0,78,
SN6,14,4,,120,18,0,138,
SN7,9,,,,,,0,
SN8,15,12,,169,0,0,169,
SN9,6,2,,18,0,0,18,
SO15,14,,,,,,0,
SO16,28,7,,84,0,48,132,
SO17,5,1,,36,0,0,36,
SO19,19,7,,36,0,89,125,
SO20,5,2,,0,0,39,39,
SO21,14,6,,94,0,0,94,
SO22,11,5,,190,0,0,190,
SO23,8,2,,41,0,0,41,
SO24,6,2,,33,0,0,33,
SO30,9,5,,96,12,0,108,
SO31,15,3,,90,0,0,90,
SO32,11,3,,47,0,0,47,
SO40,19,4,,143,0,0,143,
SO41,15,5,,155,0,0,155,
SO42,2,1,,28,0,0,28,
SO43,4,,,,,,0,
SO45,16,4,,158,0,0,158,
SO50,16,8,,237,0,0,237,
SO51,15,10,,292,2,121,415,
SO52,2,,,,,,0,
SO53,14,7,,153,0,0,153,
SP1,19,9,,46,0,0,46,
SP10,19,4,,129,0,120,249,
SP11,22,9,,123,0,30,153,
SP2,13,3,,53,0,0,53,
SP3,8,6,,8,0,0,8,
SP4,20,11,,54,0,0,54,
SP5,14,6,,61,0,0,61,
SP6,9,5,,93,0,0,93,
SP7,8,3,,4,11,0,15,
SP8,7,,,,,,0,
SR1,1,,,,,,0,
SR2,19,3,,8,0,2,10,
SR3,17,4,,15,0,3,18,
SR5,16,7,,74,0,23,97,
SR8,20,6,,129,0,0,129,
SS1,6,3,,186,0,0,186,
SS11,5,2,,42,0,0,42,
SS12,7,5,,14,0,0,14,
SS15,9,3,,24,0,0,24,
SS16,10,4,,23,27,0,50,
SS17,11,7,,153,0,0,153,
SS2,13,1,,0,0,149,149,
SS3,9,4,,24,0,0,24,
SS4,10,3,,48,0,0,48,
SS5,5,1,,24,0,0,24,
SS6,10,1,,24,0,0,24,
SS7,18,8,,132,36,18,186,
SS8,12,2,,42,0,0,42,
SS9,18,7,,348,0,0,348,
ST1,14,3,,101,0,120,221,
ST10,19,7,,374,0,0,374,
ST11,9,3,,96,55,55,206,
ST12,2,1,,25,0,0,25,
ST13,17,2,,17,24,24,65,
ST14,17,3,,314,48,98,460,
ST15,11,5,,604,0,98,702,
ST16,10,5,,29,0,100,129,
ST17,22,11,,1007,0,76,1083,
ST18,13,7,,325,0,20,345,
ST19,14,1,,48,60,60,168,
ST2,15,4,,209,0,6,215,
ST20,3,3,,192,0,0,192,
ST21,3,,,,,,0,
ST3,27,5,,318,0,0,318,
ST4,22,8,,357,269,338,964,
ST5,38,15,,647,82,86,815,
ST6,26,7,,364,0,60,424,
ST7,28,8,,473,0,120,593,
ST8,10,2,,118,27,34,179,
ST9,8,3,,131,0,0,131,
SW10,6,,,,,,0,
SW11,24,,,,,,0,
SW12,16,,,,,,0,
SW13,6,,,,,,0,
SW14,6,,,,,,0,
SW15,26,,,,,,0,
SW16,16,,,,,,0,
SW17,23,,,,,,0,
SW18,18,,,,,,0,
SW19,31,,,,,,0,
SW1E,1,,,,,,0,
SW1H,1,,,,,,0,
SW1P,10,,,,,,0,
SW1V,7,,,,,,0,
SW1W,5,,,,,,0,
SW1X,5,,,,,,0,
SW2,16,,,,,,0,
SW20,14,,,,,,0,
SW3,10,,,,,,0,
SW4,17,,,,,,0,
SW5,5,,,,,,0,
SW6,25,,,,,,0,
SW7,9,,,,,,0,
SW8,9,,,,,,0,
SW9,12,,,,,,0,
SY1,13,4,,91,3,0,94,
SY10,7,3,,30,0,0,30,
SY11,12,4,,56,0,0,56,
SY12,6,3,,24,0,0,24,
SY13,10,,,,,,0,
SY14,5,,,,,,0,
SY15,1,,,,,,0,
SY2,8,2,,41,0,0,41,
SY3,12,3,,33,24,0,57,
SY4,20,7,,89,94,0,183,
SY5,13,5,,44,0,0,44,
SY6,4,2,,20,0,0,20,
SY7,11,2,,30,13,0,43,
SY8,9,2,,21,0,0,21,
TA1,16,5,,124,0,0,124,
TA10,6,4,,110,0,0,110,
TA11,5,2,,36,0,0,36,
TA12,3,2,,54,0,0,54,
TA13,2,2,,18,0,0,18,
TA14,3,2,,30,0,0,30,
TA15,1,1,,24,0,0,24,
TA16,1,,,,,,0,
TA17,1,,,,,,0,
TA18,8,,,,,,0,
TA19,6,1,,31,0,0,31,
TA2,18,4,,69,0,0,69,
TA20,11,3,,51,0,0,51,
TA21,13,7,,88,0,0,88,
TA22,2,1,,18,0,0,18,
TA23,2,,,,,,0,
TA24,9,,,,,,0,
TA3,11,5,,117,0,0,117,
TA4,11,7,,208,0,0,208,
TA5,7,2,,30,0,0,30,
TA6,21,7,,138,0,0,138,
TA7,10,4,,65,0,0,65,
TA8,4,1,,12,0,0,12,
TA9,8,,,,,,0,
TD15,16,,,,,,0,
TF1,15,2,,96,0,0,96,
TF10,12,2,,96,0,0,96,
TF11,7,1,,17,0,0,17,
TF12,3,2,,27,18,0,45,
TF13,3,1,,17,0,0,17,
TF2,17,2,,84,0,0,84,
TF3,10,1,,72,0,0,72,
TF4,11,,,,,,0,
TF5,1,,,,,,0,
TF6,5,1,,36,0,0,36,
TF7,10,,,,,,0,
TF8,2,,,,,,0,
TF9,14,4,,44,0,0,44,
TN1,1,,,,,,0,
TN10,6,,,,,,0,
TN11,13,4,,65,0,0,65,
TN12,10,,,,,,0,
TN13,16,2,,77,0,0,77,
TN14,10,2,,40,0,0,40,
TN15,14,1,,13,0,0,13,
TN16,7,2,,43,0,0,43,
TN17,12,3,,53,0,0,53,
TN18,4,,,,,,0,
TN2,12,1,,64,0,0,64,
TN20,4,1,,21,0,0,21,
TN21,8,6,,120,0,24,144,
TN22,16,11,,75,0,0,75,
TN23,15,10,,377,61,94,532,
TN24,13,4,,212,0,0,212,
TN25,15,7,,141,0,0,141,
TN26,4,2,,46,0,0,46,
TN27,8,3,,12,0,0,12,
TN28,3,,,,,,0,
TN29,4,1,,11,0,0,11,
TN3,9,2,,28,0,0,28,
TN30,6,,,,,,0,
TN31,8,5,,44,0,0,44,
TN32,7,3,,28,0,0,28,
TN33,9,6,,74,0,0,74,
TN37,6,4,,42,0,0,42,
TN38,9,4,,11,0,0,11,
TN4,16,5,,117,20,0,137,
TN40,7,4,,30,0,0,30,
TN5,6,2,,0,0,30,30,
TN6,9,4,,44,0,0,44,
TN8,6,1,,22,0,0,22,
TN9,9,2,,49,11,0,60,
TQ1,14,4,,101,4,0,105,
TQ10,1,,,,,,0,
TQ12,27,15,,121,0,0,121,
TQ13,14,5,,39,0,0,39,
TQ2,13,3,,140,0,0,140,
TQ3,7,4,,116,8,12,136,
TQ4,5,1,,28,0,0,28,
TQ5,7,5,,63,0,0,63,
TQ8,1,,,,,,0,
TQ9,18,7,,92,0,0,92,
TR1,11,3,,23,0,0,23,
TR10,3,2,,24,0,0,24,
TR11,10,3,,98,0,0,98,
TR12,9,4,,36,0,0,36,
TR13,12,5,,66,0,0,66,
TR14,14,5,,71,0,0,71,
TR15,7,,,,,,0,
TR16,7,3,,24,0,0,24,
TR17,1,,,,,,0,
TR18,9,6,,46,0,29,75,
TR19,7,5,,41,0,0,41,
TR2,9,5,,63,0,0,63,
TR20,8,3,,69,0,0,69,
TR21,1,,,,,,0,
TR26,4,1,,20,0,0,20,
TR27,8,4,,81,0,0,81,
TR3,7,5,,81,0,0,81,
TR4,11,3,,24,0,0,24,
TR5,2,,,,,,0,
TR6,1,,,,,,0,
TR7,6,2,,121,0,0,121,
TR8,5,1,,21,0,0,21,
TR9,2,1,,36,0,0,36,
TS1,5,,,,,,0,
TS10,15,5,,48,0,101,149,
TS11,5,1,,53,0,0,53,
TS12,10,,,,,,0,
TS13,6,,,,,,0,
TS14,7,4,,12,0,0,12,
TS15,8,3,,45,0,0,45,
TS16,7,1,,25,0,0,25,
TS17,18,1,,71,0,0,71,
TS18,8,,,,,,0,
TS19,17,,,,,,0,
TS2,1,,,,,,0,
TS20,9,,,,,,0,
TS22,5,,,,,,0,
TS23,11,1,,15,0,0,15,
TS24,11,,,,,,0,
TS25,18,,,,,,0,
TS26,7,,,,,,0,
TS27,7,1,,6,0,0,6,
TS28,4,,,,,,0,
TS29,3,,,,,,0,
TS3,19,,,,,,0,
TS4,9,,,,,,0,
TS5,12,1,,2,0,2,4,
TS6,15,5,,89,0,32,121,
TS7,11,1,,2,0,2,4,
TS8,7,2,,41,0,0,41,
TS9,8,,,,,,0,
TW1,10,,,,,,0,
TW10,12,,,,,,0,
TW11,7,,,,,,0,
TW12,11,,,,,,0,
TW13,15,,,,,,0,
TW14,8,,,,,,0,
TW15,9,5,,87,0,0,87,
TW16,9,2,,32,0,0,32,
TW17,6,,,,,,0,
TW19,3,,,,,,0,
TW2,17,,,,,,0,
TW20,10,3,,30,0,0,30,
TW3,10,,,,,,0,
TW4,8,,,,,,0,
TW5,10,,,,,,0,
TW7,16,,,,,,0,
TW8,7,,,,,,0,
TW9,10,,,,,,0,
UB1,16,,,,,,0,
UB10,16,,,,,,0,
UB2,14,,,,,,0,
UB3,15,,,,,,0,
UB4,16,,,,,,0,
UB5,12,,,,,,0,
UB6,15,,,,,,0,
UB7,12,,,,,,0,
UB8,15,,,,,,0,
UB9,5,,,,,,0,
W10,23,,,,,,0,
W11,12,,,,,,0,
W12,21,,,,,,0,
W13,10,,,,,,0,
W14,13,,,,,,0,
W1B,3,,,,,,0,
W1D,1,,,,,,0,
W1G,1,,,,,,0,
W1H,6,,,,,,0,
W1J,1,,,,,,0,
W1K,1,,,,,,0,
W1U,3,,,,,,0,
W1W,1,,,,,,0,
W2,15,,,,,,0,
W3,21,,,,,,0,
W4,14,,,,,,0,
W5,17,,,,,,0,
W6,24,,,,,,0,
W7,11,,,,,,0,
W8,7,,,,,,0,
W9,12,,,,,,0,
WA1,11,4,,120,0,26,146,
WA10,13,1,,19,0,0,19,
WA11,14,,,,,,0,
WA12,10,2,,18,19,0,37,
WA13,6,2,,81,0,27,108,
WA14,16,1,,50,0,0,50,
WA15,18,1,,18,0,0,18,
WA16,12,2,,118,0,60,178,
WA2,17,5,,64,0,0,64,
WA3,23,5,,77,0,0,77,
WA4,24,5,,96,12,0,108,
WA5,23,8,,141,0,0,141,
WA6,12,6,,56,0,0,56,
WA7,40,12,,172,0,0,172,
WA8,30,6,,177,0,0,177,
WA9,21,1,,33,0,0,33,
WC1A,1,,,,,,0,
WC1B,1,,,,,,0,
WC1H,1,,,,,,0,
WC1N,3,,,,,,0,
WC2B,2,,,,,,0,
WC2E,1,,,,,,0,
WD18,12,3,,66,0,0,66,
WD19,9,,,,,,0,
WD23,20,4,,36,0,0,36,
WD24,7,2,,67,0,0,67,
WD25,17,2,,22,0,0,22,
WD3,25,9,,123,0,0,123,
WD4,4,1,,27,0,0,27,
WD6,17,,,,,,0,
WD7,9,3,,32,0,0,32,
WF1,19,3,,125,0,0,125,
WF10,18,2,,47,0,0,47,
WF11,8,,,,,,0,
WF12,18,7,,97,0,40,137,
WF13,15,6,,42,0,21,63,
WF14,8,3,,136,0,0,136,
WF15,9,7,,102,0,89,191,
WF16,5,2,,28,0,67,95,
WF17,27,17,,200,0,141,341,
WF2,21,2,,77,0,0,77,
WF3,13,6,,255,0,6,261,
WF4,24,7,,183,0,45,228,
WF5,12,1,,28,0,0,28,
WF6,10,1,,30,0,0,30,
WF7,13,3,,102,0,0,102,
WF8,17,,,,,,0,
WF9,18,1,,28,0,0,28,
WN1,9,1,,20,0,0,20,
WN2,27,6,,22,0,0,22,
WN3,12,2,,40,0,0,40,
WN4,14,4,,10,0,0,10,
WN5,16,,,,,,0,
WN6,16,5,,70,0,0,70,
WN7,19,3,,26,0,0,26,
WN8,31,6,,121,0,0,121,
WR10,13,5,,27,0,0,27,
WR11,23,8,,66,0,0,66,
WR12,4,3,,27,0,0,27,
WR14,15,6,,53,0,0,53,
WR15,4,1,,18,0,0,18,
WR2,13,6,,120,0,0,120,
WR3,9,3,,98,0,0,98,
WR5,15,4,,53,0,0,53,
WR6,11,2,,26,0,0,26,
WR8,5,3,,63,0,0,63,
WR9,14,6,,25,0,0,25,
WS1,16,,,,,,0,
WS10,22,4,,49,0,30,79,
WS11,18,7,,421,24,63,508,
WS12,14,5,,584,24,24,632,
WS13,16,8,,501,60,43,604,
WS14,8,3,,86,0,0,86,
WS15,19,4,,204,24,24,252,
WS2,19,,,,,,0,
WS3,25,2,,12,0,30,42,
WS4,9,1,,20,0,0,20,
WS5,7,,,,,,0,
WS6,7,,,,,,0,
WS7,11,3,,264,0,0,264,
WS8,9,,,,,,0,
WS9,12,2,,86,0,0,86,
WV1,7,,,,,,0,
WV10,23,,,,,,0,
WV11,16,,,,,,0,
WV12,11,,,,,,0,
WV13,5,,,,,,0,
WV15,3,,,,,,0,
WV16,9,3,,27,0,0,27,
WV2,5,,,,,,0,
WV3,13,,,,,,0,
WV4,20,,,,,,0,
WV5,8,1,,57,0,0,57,
WV6,22,1,,120,60,60,240,
WV7,3,,,,,,0,
WV8,9,1,,80,18,18,116,
WV9,2,,,,,,0,
YO10,11,2,,49,0,0,49,
YO12,13,7,,85,14,0,99,
YO13,7,,,,,,0,
YO15,4,,,,,,0,
YO17,15,3,,10,0,0,10,
YO18,6,2,,58,0,0,58,
YO19,7,,,,,,0,
YO22,7,,,,,,0,
YO23,10,5,,142,56,0,198,
YO26,14,3,,76,0,0,76,
YO30,10,3,,71,7,0,78,
YO31,9,2,,33,16,0,49,
YO32,9,4,,42,0,36,78,
YO41,7,,,,,,0,
YO42,9,1,,9,0,0,9,
YO51,5,2,,27,0,0,27,
YO60,5,,,,,,0,
YO61,10,3,,70,0,0,70,
YO7,17,2,,14,0,0,14,
YO8,25,5,,48,0,0,48,
