Node,"No delivery due to covid","L1 and L2 places attended - 2019/20","No. of Instructors","Level 3 Places Attended (2018/19)","Levels 1 and 2 Places Attended (2018/19)","L3 places attended - 2019/20","Number of schools","Level 3 Places Attended (2020/21)","% schools that booked Bikeability","Plus Places Attended (2020/21)","Levels 1 and 2 places attended (2020/21)"
AB10,,0,0,0,0,0,1,0,0,0,0
AB11,,0,1,0,0,0,0,0,0,0,0
AB12,,0,1,0,0,0,0,0,0,0,0
AB13,,0,1,0,0,0,0,0,0,0,0
AB14,,0,1,0,0,0,0,0,0,0,0
AB15,,0,1,0,0,0,0,0,0,0,0
AB16,,0,1,0,0,0,0,0,0,0,0
AB21,,0,1,0,0,0,0,0,0,0,0
AB23,,0,0,0,0,0,6,0,0,0,0
AL1,,335,1,0,166,0,22,0,18,0,23
AL2,,117,1,16,112,0,7,0,43,0,28
AL3,,313,3,16,275,33,18,0,50,0,260
AL4,,123,2,0,81,0,13,0,23,0,156
AL5,,404,3,0,348,0,21,0,33,0,222
AL6,,96,0,0,123,0,6,19,33,0,45
AL7,,98,3,0,161,23,13,0,15,0,35
AL8,,153,1,0,110,0,9,0,33,0,92
AL9,YES,69,0,0,42,0,7,0,29,0,0
AL10,,106,2,8,87,10,13,18,15,0,88
B1,,129,0,0,33,0,3,0,0,0,0
B4,,0,0,0,0,0,1,0,0,0,0
B5,,0,2,0,0,0,2,0,0,0,0
B6,,40,0,0,0,0,15,18,13,12,95
B7,,245,0,0,172,0,10,0,20,0,12
B8,YES,417,1,0,283,0,18,0,11,0,0
B9,YES,439,3,0,104,0,11,0,18,0,0
B10,,295,1,0,240,0,14,0,0,0,0
B11,YES,216,1,0,181,0,19,0,5,0,0
B12,,352,2,0,75,0,17,0,12,32,98
B13,YES,705,1,124,812,122,22,0,5,0,0
B14,,358,5,0,447,0,20,16,25,12,103
B15,YES,85,1,25,193,12,18,0,6,0,0
B16,,24,1,0,46,0,7,0,0,0,0
B17,YES,48,1,0,45,0,10,0,10,0,0
B18,,0,0,0,0,0,10,0,0,0,0
B19,,152,1,0,0,0,16,0,0,0,0
B20,YES,161,1,0,143,0,13,0,8,0,0
B21,YES,53,1,0,0,0,16,0,6,0,0
B23,YES,199,1,0,172,0,22,0,9,0,0
B24,,98,2,0,70,0,10,0,30,23,96
B25,YES,78,0,0,0,0,3,0,33,0,0
B26,,148,3,0,24,0,12,0,0,0,0
B27,,96,0,0,77,31,9,0,0,0,0
B28,,130,1,0,94,0,10,0,30,4,29
B29,,111,2,0,170,0,20,8,20,42,333
B30,,195,6,0,121,0,13,0,15,0,146
B31,,268,2,0,230,0,21,0,14,0,88
B32,YES,131,0,0,330,0,15,0,20,0,0
B33,YES,655,1,42,283,0,16,0,6,0,0
B34,YES,276,3,0,90,0,7,0,14,0,0
B35,,0,0,0,36,0,7,0,0,0,0
B36,,168,2,0,248,0,19,0,16,0,28
B37,,576,0,0,623,0,14,0,43,0,180
B38,YES,53,0,0,100,0,8,0,13,0,0
B42,YES,0,0,0,30,0,9,0,11,0,0
B43,,154,0,0,129,0,10,0,0,0,0
B44,YES,129,6,0,92,0,18,0,11,0,0
B45,,305,1,0,247,0,17,0,29,10,171
B46,,53,1,0,0,0,7,0,14,0,93
B47,YES,47,0,0,30,0,3,0,33,0,0
B48,,0,0,0,0,0,2,0,0,0,0
B49,,38,0,0,67,0,10,0,30,0,18
B50,,36,0,0,35,0,1,0,100,0,30
B60,,144,2,0,156,0,12,0,25,0,26
B61,YES,381,1,0,308,0,12,0,17,0,0
B62,YES,145,0,0,109,0,7,0,43,0,0
B63,YES,366,1,0,155,77,13,0,15,0,0
B64,YES,54,0,0,32,0,6,0,33,0,0
B65,,57,0,0,44,0,8,0,13,0,24
B66,,44,0,0,29,0,10,0,10,0,25
B67,,68,2,0,92,0,9,0,22,0,42
B68,,225,1,0,93,0,15,0,20,0,20
B69,,209,0,0,204,0,12,0,25,0,57
B70,,68,0,0,39,0,13,0,8,0,30
B71,,81,0,0,60,0,12,0,17,0,33
B72,,108,0,0,83,0,5,0,40,0,28
B73,,89,3,24,125,0,8,0,25,34,30
B74,,164,1,54,80,36,10,0,20,0,140
B75,YES,149,0,0,0,0,11,0,36,0,0
B76,,84,1,0,0,0,8,0,25,23,19
B77,,168,0,0,159,24,24,19,17,31,112
B78,,35,0,0,58,0,10,0,0,0,0
B79,,120,1,0,129,0,16,0,19,54,266
B80,,25,0,0,0,0,5,0,0,0,0
B90,,904,2,0,797,0,19,0,42,0,190
B91,YES,757,1,88,842,26,17,0,47,0,0
B92,,389,5,0,361,0,14,0,43,0,68
B93,,205,6,38,354,0,7,0,43,0,374
B94,,53,2,0,80,0,4,0,75,0,14
B95,,21,0,16,58,0,6,0,67,0,61
B96,,45,1,0,33,0,3,0,0,0,0
B97,,87,2,0,113,0,11,0,0,0,0
B98,YES,77,1,0,103,0,22,0,9,0,0
BA1,,40,2,0,19,0,17,0,12,0,29
BA2,,37,1,0,39,0,35,0,6,0,24
BA3,,166,1,0,141,0,24,0,25,0,150
BA4,,72,1,0,59,0,10,0,30,0,42
BA5,,80,1,0,63,0,12,0,58,0,117
BA6,,18,0,0,19,0,9,0,33,0,64
BA7,,22,0,0,35,0,3,0,0,0,0
BA8,,43,0,0,24,0,4,0,50,0,25
BA9,,24,0,0,12,0,3,0,0,0,0
BA10,,0,0,0,0,0,4,0,25,0,6
BA11,,36,0,0,36,0,20,0,10,0,24
BA12,,124,0,0,69,0,17,0,35,0,68
BA13,YES,81,0,0,29,0,9,0,22,0,0
BA14,,119,3,0,221,0,24,0,46,0,104
BA15,,10,2,0,12,0,5,0,40,0,12
BA16,,72,0,0,45,0,7,0,43,0,43
BA20,,42,0,0,60,0,3,0,100,0,72
BA21,,36,0,0,31,0,15,0,7,0,42
BA22,,106,0,0,23,0,11,0,18,0,48
BB1,,592,5,187,460,117,35,0,17,30,117
BB2,,874,8,462,750,156,38,33,21,32,422
BB3,,417,6,0,526,0,20,0,20,0,135
BB4,,804,3,18,929,40,27,0,37,0,60
BB5,,212,4,0,109,74,37,30,46,90,219
BB6,,137,1,0,0,11,7,7,43,0,79
BB7,,202,8,0,0,0,25,0,40,179,43
BB8,,282,5,0,430,41,15,0,13,0,32
BB9,YES,924,3,0,752,0,27,0,11,0,0
BB10,,353,1,22,536,64,20,71,50,192,327
BB11,,190,0,8,356,52,15,25,53,87,358
BB12,,189,1,0,530,35,26,99,58,216,787
BB18,YES,400,1,0,364,11,9,0,11,0,0
BD1,,0,0,0,0,0,1,0,0,0,0
BD2,YES,124,3,0,124,0,12,0,8,0,0
BD3,YES,492,0,0,368,0,17,0,12,0,0
BD4,,53,0,0,15,0,17,0,12,40,111
BD5,,26,1,0,58,0,24,0,0,0,0
BD6,,30,0,0,0,0,10,0,10,0,25
BD7,,0,1,0,100,0,10,0,0,0,0
BD8,,31,1,0,192,0,20,0,5,24,127
BD9,,190,1,0,199,0,17,0,24,0,114
BD10,YES,12,2,0,10,0,11,0,9,0,0
BD11,,125,0,0,45,0,2,0,50,0,22
BD12,,81,1,0,48,0,6,0,33,0,46
BD13,YES,96,1,0,218,0,11,0,27,0,0
BD14,,22,0,0,24,0,4,0,25,6,46
BD15,,116,0,0,90,0,6,0,50,0,44
BD16,,271,5,0,155,21,13,10,31,5,92
BD17,,109,3,0,153,0,5,0,40,0,134
BD18,YES,18,7,0,33,0,11,0,18,0,0
BD19,,134,2,0,0,0,9,0,56,28,66
BD20,,67,2,0,97,0,16,0,13,0,27
BD21,,230,0,0,114,0,10,0,30,63,129
BD22,,94,2,0,110,0,14,0,21,0,80
BD23,,229,1,0,206,0,27,0,26,0,94
BD24,,16,1,0,26,0,4,0,25,0,15
BH1,,0,0,0,0,0,3,0,0,0,0
BH2,,23,1,0,12,0,3,0,0,0,0
BH3,,25,0,0,0,0,1,0,100,0,30
BH4,,0,0,0,0,0,1,0,0,0,0
BH5,YES,55,0,0,52,0,3,0,67,0,0
BH6,,0,2,0,49,0,4,0,25,0,12
BH7,,41,0,0,0,0,4,0,0,0,0
BH8,,0,1,0,0,0,9,0,0,0,0
BH9,,140,0,0,109,0,7,0,43,0,38
BH10,YES,46,0,0,9,3,6,0,33,0,0
BH11,YES,24,1,0,33,0,7,0,29,0,0
BH12,,56,1,0,42,0,11,0,45,0,12
BH13,,0,0,0,0,0,1,0,0,0,0
BH14,,69,2,0,47,0,5,0,40,0,48
BH15,,127,0,27,111,29,10,0,50,0,10
BH16,,15,1,0,0,0,6,0,50,0,26
BH17,,54,1,0,84,0,10,0,30,0,23
BH18,YES,35,0,15,58,3,4,0,25,0,0
BH19,,32,0,33,45,6,6,9,17,0,7
BH20,,48,0,0,36,0,11,0,27,0,99
BH21,,110,1,15,68,15,26,9,15,0,5
BH22,,72,1,24,58,15,7,0,29,0,25
BH23,,440,3,53,228,116,19,103,47,0,108
BH24,,295,3,3,186,0,10,0,10,0,18
BH25,,103,1,0,208,42,8,9,25,0,50
BH31,,0,0,0,0,0,4,0,0,0,0
BL0,,234,2,0,291,0,10,0,30,0,35
BL1,,413,1,0,464,6,32,14,44,104,282
BL2,,319,4,0,233,8,20,0,20,0,23
BL3,,325,2,0,307,6,38,2,26,60,142
BL4,,265,1,22,288,0,21,4,33,66,110
BL5,,287,2,19,222,7,11,0,36,8,0
BL6,,298,2,0,151,6,14,0,29,0,89
BL7,,179,1,0,196,0,9,12,22,39,52
BL8,,309,2,0,120,0,20,0,45,0,151
BL9,,199,1,0,174,0,28,0,39,0,71
BN1,,434,7,0,418,0,29,0,28,28,100
BN2,,430,6,0,158,0,27,0,30,30,0
BN3,YES,292,4,0,622,0,21,0,19,0,0
BN5,,0,0,0,0,0,1,0,100,0,31
BN6,,110,0,0,153,0,8,0,25,0,53
BN7,,221,2,7,289,9,11,0,73,0,50
BN8,,185,1,0,141,0,12,0,67,0,151
BN9,,29,1,4,67,7,6,0,33,12,48
BN10,,119,1,0,82,3,4,0,50,0,86
BN11,,68,3,0,64,0,10,0,10,0,60
BN12,,22,1,0,84,0,8,0,38,0,115
BN13,,0,2,0,0,0,8,0,13,0,3
BN14,,56,1,0,88,0,12,0,25,0,138
BN15,,0,2,22,0,0,9,0,11,0,60
BN16,,42,0,0,0,0,8,0,13,0,60
BN17,,46,2,0,126,0,7,0,29,0,122
BN18,,0,1,0,0,0,9,0,33,0,68
BN20,,134,2,10,0,2,10,0,10,144,0
BN21,,47,2,0,0,0,4,0,25,0,46
BN22,,116,1,0,142,0,13,0,8,16,29
BN23,,134,1,0,56,1,9,0,44,0,26
BN24,,74,0,11,78,6,3,0,67,0,12
BN25,YES,90,3,10,56,7,8,0,25,0,0
BN26,,21,0,0,9,0,2,0,0,0,0
BN27,,118,2,0,133,0,11,0,36,0,48
BN41,,217,1,0,157,24,9,0,56,48,65
BN42,,49,0,0,38,0,2,0,0,0,0
BN43,,34,2,0,51,0,9,0,0,0,0
BN44,,0,3,0,0,0,4,0,0,0,0
BR1,,0,7,0,0,0,23,0,0,0,0
BR2,,0,4,0,0,0,18,0,0,0,0
BR3,,0,6,0,0,0,19,0,0,0,0
BR4,,0,0,0,0,0,8,0,0,0,0
BR5,,0,2,0,0,0,16,0,0,0,0
BR6,,0,4,0,0,0,19,0,0,0,0
BR7,,0,0,0,0,0,11,0,0,0,0
BR8,,73,0,0,63,0,11,0,18,0,36
BS1,,12,0,0,0,0,5,0,20,0,12
BS2,,24,2,0,20,0,9,0,11,0,12
BS3,YES,151,7,0,206,0,12,0,8,0,0
BS4,,254,1,0,171,0,19,0,16,0,38
BS5,YES,49,2,0,102,0,17,0,6,0,0
BS6,,93,1,0,213,12,13,0,31,0,125
BS7,,427,2,0,368,0,15,0,27,0,42
BS8,,164,0,0,56,0,8,0,0,0,0
BS9,,353,1,11,220,0,11,0,55,0,77
BS10,YES,66,1,0,9,0,11,0,9,0,0
BS11,,83,1,23,173,0,11,0,36,0,78
BS13,,104,1,0,65,0,13,0,23,0,86
BS14,,85,1,0,87,0,11,0,0,0,0
BS15,,383,2,159,333,143,16,54,25,0,0
BS16,,667,3,0,549,15,34,0,29,25,86
BS20,,391,0,70,240,0,10,12,50,0,214
BS21,,98,2,7,41,0,7,0,29,0,124
BS22,,83,1,101,89,0,13,36,46,0,181
BS23,,40,1,21,77,24,11,0,36,0,76
BS24,,35,1,0,108,0,11,0,36,0,125
BS25,,43,0,9,79,0,5,42,20,0,0
BS26,,0,0,0,0,0,2,0,0,0,0
BS27,,0,1,0,0,0,4,0,0,0,0
BS28,,0,0,0,0,0,2,0,50,0,3
BS29,,19,0,0,0,0,1,0,0,0,0
BS30,,248,0,0,365,0,13,73,54,25,54
BS31,,29,0,0,0,0,11,0,9,0,24
BS32,,144,1,0,148,0,12,0,58,25,114
BS34,,162,0,33,329,44,12,0,25,0,48
BS35,,206,5,16,326,0,16,0,44,25,110
BS36,,288,1,0,306,0,6,0,83,0,31
BS37,,306,1,0,170,0,20,41,20,0,33
BS39,,88,0,0,133,0,9,0,11,0,49
BS40,,95,0,0,87,0,10,0,20,0,65
BS41,,106,1,0,108,0,3,0,0,0,0
BS48,,83,2,88,87,63,14,24,29,10,88
BS49,,25,0,0,0,0,4,0,0,0,0
CA1,,185,0,5,134,0,10,0,40,0,47
CA2,,364,0,4,456,0,15,0,33,0,77
CA3,,274,0,0,162,0,6,0,33,0,19
CA4,,135,1,0,207,0,9,0,44,0,60
CA5,,75,0,0,89,0,9,0,56,0,53
CA6,,102,0,0,90,0,8,0,50,0,60
CA7,,222,0,43,179,30,21,0,33,0,79
CA8,,132,1,0,120,0,10,0,40,0,63
CA9,,27,0,0,0,0,3,0,0,0,0
CA10,,267,3,0,170,0,15,0,47,0,80
CA11,,292,10,43,301,34,14,0,57,0,60
CA12,,91,1,15,50,30,6,0,67,0,108
CA13,,197,1,0,251,0,9,0,67,0,104
CA14,,378,0,28,316,24,21,0,33,0,95
CA15,,129,1,22,142,18,13,0,38,0,97
CA16,,107,0,0,110,0,6,0,83,0,41
CA17,,50,2,21,53,6,3,17,100,0,6
CA19,,0,0,0,6,0,1,0,100,0,9
CA20,,92,0,0,48,0,2,0,50,0,23
CA21,,12,0,0,8,0,1,0,100,0,6
CA22,,101,0,16,74,16,5,0,60,0,34
CA23,,0,0,0,11,0,1,0,0,0,0
CA24,,6,0,0,0,0,1,0,0,0,0
CA25,,44,0,0,39,0,3,0,33,0,19
CA26,,0,0,0,26,0,5,0,20,0,9
CA27,YES,21,0,0,16,0,2,0,50,0,0
CA28,,210,0,0,220,0,17,0,29,0,42
CB1,,514,9,137,621,36,21,23,52,0,204
CB2,,123,3,41,329,47,16,7,44,0,224
CB3,,95,0,0,88,0,6,0,83,0,23
CB4,,507,6,48,249,61,17,0,41,0,64
CB5,,31,1,0,31,0,4,0,50,0,18
CB6,,322,3,0,428,0,19,0,42,0,188
CB7,YES,331,2,0,289,0,9,0,56,0,0
CB8,,188,0,0,98,0,15,0,40,0,117
CB9,,9,0,0,24,0,15,0,13,0,12
CB10,,106,1,0,25,0,6,0,100,0,32
CB11,,205,1,0,33,58,11,56,82,29,58
CB21,,225,1,0,309,0,15,0,33,0,96
CB22,,327,2,0,290,0,12,0,75,0,287
CB23,,548,1,26,648,18,16,22,94,0,627
CB24,,582,7,0,514,0,18,0,44,0,302
CB25,,131,3,0,155,0,6,0,67,0,75
CH1,,65,0,21,62,20,13,0,23,0,38
CH2,,91,5,87,179,68,17,84,41,0,162
CH3,,184,1,78,228,36,20,0,20,0,132
CH4,YES,82,3,0,65,0,11,0,9,0,0
CH7,,0,3,0,0,0,0,0,0,0,0
CH41,,30,0,0,0,0,13,0,15,0,10
CH42,,15,0,0,0,0,8,0,13,0,12
CH43,,236,0,0,0,9,17,0,12,0,75
CH44,,47,0,0,0,31,9,0,22,0,34
CH45,,244,0,0,0,19,10,0,0,0,0
CH46,,56,2,0,0,24,11,0,9,0,5
CH47,,27,0,0,0,0,2,0,0,0,0
CH48,,88,3,0,0,0,9,0,0,0,0
CH49,,73,2,0,0,44,17,44,6,0,0
CH60,,79,1,0,0,24,4,0,0,0,0
CH61,,97,0,0,0,0,7,0,29,0,26
CH62,,221,2,0,0,0,9,0,56,0,183
CH63,,213,2,0,0,0,15,0,7,0,66
CH64,,139,0,0,59,0,7,0,14,0,15
CH65,,53,0,0,119,0,14,0,0,0,0
CH66,,78,0,0,83,0,13,0,31,0,28
CM0,YES,94,1,0,58,0,6,0,33,0,0
CM1,,424,4,11,248,0,28,36,32,0,65
CM2,,308,7,0,292,24,27,20,37,0,190
CM3,,564,4,0,350,0,28,0,46,0,260
CM4,,117,0,0,75,0,6,0,17,0,16
CM5,YES,39,1,0,11,0,6,0,50,0,0
CM6,,247,0,5,133,0,11,0,55,30,139
CM7,,202,2,0,141,27,18,0,39,0,99
CM8,,102,0,20,91,0,14,0,43,0,59
CM9,,230,2,0,215,0,12,0,33,0,76
CM11,,74,2,0,73,0,7,0,29,0,72
CM12,,382,2,42,213,38,9,0,56,0,84
CM13,,219,1,24,140,23,11,22,55,0,53
CM14,,12,1,0,12,0,5,0,20,0,31
CM15,,214,2,21,228,6,17,0,29,0,33
CM16,,111,1,0,14,6,9,18,67,0,105
CM17,,99,1,0,47,0,10,0,40,0,55
CM18,,64,0,0,95,0,15,0,27,0,17
CM19,,68,1,0,60,0,7,0,71,0,13
CM20,,52,0,0,47,0,10,0,60,0,21
CM21,YES,95,0,0,22,0,5,0,20,0,0
CM22,,196,0,0,132,0,9,0,44,0,31
CM23,,369,1,0,259,27,22,0,32,0,37
CM24,YES,54,0,0,0,0,4,0,50,0,0
CM77,,89,2,0,75,0,5,0,40,0,88
CO1,,110,2,0,65,0,4,0,100,0,60
CO2,YES,147,2,0,96,0,17,0,29,0,0
CO3,,327,1,30,259,5,22,0,32,0,107
CO4,,298,3,0,376,10,21,0,29,0,29
CO5,,144,3,27,177,0,12,0,25,0,71
CO6,,411,1,0,170,0,17,0,41,0,62
CO7,,241,0,4,168,4,15,0,20,0,58
CO8,YES,27,0,0,0,0,1,0,100,0,0
CO9,,86,0,0,130,0,17,0,29,0,21
CO10,,115,1,0,212,0,24,0,25,0,28
CO11,,49,1,0,77,0,7,0,43,0,70
CO12,,66,1,0,43,0,9,0,44,0,11
CO13,YES,66,1,0,54,0,5,0,40,0,0
CO14,,50,0,0,41,0,2,0,100,0,32
CO15,,12,3,59,12,15,12,0,25,0,96
CO16,,120,1,0,75,0,9,0,44,0,9
CR0,,0,4,0,0,0,58,0,0,0,0
CR2,,0,0,0,0,0,20,0,0,0,0
CR3,,146,2,0,128,0,18,0,17,0,13
CR4,,0,3,0,0,0,24,0,0,0,0
CR5,,0,0,0,0,0,9,0,0,0,0
CR6,,22,0,0,0,0,4,0,0,0,0
CR7,,0,0,0,0,0,18,0,0,0,0
CR8,,0,0,0,0,0,15,0,0,0,0
CT1,,53,2,0,0,36,13,0,15,0,50
CT2,,131,2,0,0,0,13,0,8,0,24
CT3,,178,1,0,44,0,13,0,62,0,205
CT4,,187,1,0,47,0,10,0,30,0,97
CT5,,220,3,0,0,27,8,0,25,0,104
CT6,,182,0,0,0,0,9,0,33,0,127
CT7,,45,0,0,40,0,4,0,0,0,0
CT8,,52,0,0,61,0,4,0,25,0,34
CT9,,62,0,0,46,6,14,0,0,0,0
CT10,,125,1,0,87,0,15,0,13,0,40
CT11,,100,1,0,115,0,11,0,18,0,45
CT12,,36,1,0,49,0,10,0,0,0,0
CT13,,71,0,0,35,0,6,0,17,0,36
CT14,,29,1,0,9,0,15,0,13,0,72
CT15,,59,0,0,0,0,11,0,27,0,72
CT16,,39,2,0,0,0,12,0,25,0,216
CT17,,43,0,0,0,0,10,0,0,0,0
CT18,,32,0,0,112,0,4,0,25,0,31
CT19,,69,3,0,0,0,16,20,6,0,0
CT20,,66,0,0,0,0,7,0,14,0,27
CT21,,115,1,0,126,0,7,0,0,0,0
CV1,,146,0,0,79,0,15,0,7,0,25
CV2,,113,1,0,156,0,26,0,0,0,0
CV3,,227,2,0,228,0,26,0,12,0,125
CV4,,67,0,0,50,0,12,0,0,0,0
CV5,,258,5,11,287,0,13,0,38,0,115
CV6,,197,3,0,308,0,32,0,3,0,49
CV7,YES,492,2,0,450,0,16,0,31,0,0
CV8,,96,2,0,0,0,13,0,23,0,60
CV9,,0,2,0,17,0,15,0,27,0,45
CV10,,433,2,0,10,0,23,0,17,0,113
CV11,YES,204,1,21,0,28,15,0,13,0,0
CV12,YES,16,1,0,0,0,12,0,8,0,0
CV13,,24,1,0,11,0,10,0,0,0,0
CV21,,146,1,0,24,0,13,0,31,0,138
CV22,,139,2,0,0,0,24,0,13,0,74
CV23,,55,2,0,36,0,12,0,42,0,94
CV31,,197,0,0,151,0,14,0,36,0,102
CV32,,152,2,0,54,0,13,0,15,27,91
CV33,YES,161,0,0,0,0,4,0,50,0,0
CV34,,261,1,31,41,48,15,36,27,0,39
CV35,,162,0,0,124,0,14,0,21,0,50
CV36,,57,0,0,96,0,5,0,40,0,66
CV37,,189,0,0,123,0,21,0,10,0,18
CV47,,61,1,0,12,0,12,0,42,0,126
CW1,,482,0,30,415,0,16,55,31,15,325
CW2,,563,0,130,474,153,16,39,44,54,222
CW3,,118,0,0,102,23,6,0,17,0,26
CW4,,145,0,24,188,0,5,0,20,0,59
CW5,,527,1,9,419,9,16,0,38,0,274
CW6,,102,0,0,72,0,9,0,33,1,35
CW7,,137,0,0,155,0,14,6,21,0,0
CW8,,286,0,0,210,0,23,0,22,0,89
CW9,,175,2,17,197,0,16,26,19,0,28
CW10,,155,0,4,136,52,6,0,50,0,188
CW11,,324,0,0,394,0,11,0,27,0,151
CW12,,344,0,27,259,21,15,53,27,5,119
DA1,,88,3,0,24,18,21,0,10,0,60
DA2,,135,1,0,186,0,12,0,8,0,51
DA3,,149,0,0,126,0,9,0,11,18,0
DA4,,33,1,0,48,0,3,0,0,0,0
DA5,,0,2,0,0,0,5,0,0,0,0
DA6,,0,1,0,0,0,6,0,0,0,0
DA7,,0,1,0,0,0,9,0,0,0,0
DA8,,0,1,0,0,0,11,0,0,0,0
DA9,,0,0,0,0,0,2,0,0,0,0
DA10,,0,0,0,0,0,4,0,0,0,0
DA11,,92,0,0,55,0,17,0,12,18,0
DA12,,252,1,0,24,0,20,0,10,0,36
DA13,,36,4,0,12,0,7,0,29,90,24
DA14,,0,1,0,0,0,9,0,0,0,0
DA15,,0,0,0,0,0,13,0,0,0,0
DA16,,0,1,0,0,0,14,0,0,0,0
DA17,,0,0,0,0,0,8,0,0,0,0
DA18,,0,0,0,0,0,4,0,0,0,0
DE1,,0,2,0,0,0,7,0,0,0,0
DE3,,415,0,0,108,24,10,0,20,0,108
DE4,,125,2,0,0,0,28,0,25,27,40
DE5,,160,0,0,0,0,11,0,64,52,155
DE6,,132,1,0,29,0,23,0,22,19,16
DE7,,310,10,0,0,50,26,33,62,165,478
DE11,,248,5,0,0,0,22,0,32,54,48
DE12,,123,0,0,20,0,14,0,21,57,0
DE13,,416,0,106,437,27,22,41,59,77,671
DE14,,98,2,0,134,0,11,0,27,35,328
DE15,,100,1,0,30,0,13,0,15,16,153
DE21,,94,4,24,42,0,23,0,26,162,186
DE22,,321,4,65,382,0,21,0,29,251,283
DE23,,143,4,12,131,11,28,0,21,235,136
DE24,,318,0,24,219,12,25,0,20,5,244
DE45,,72,1,0,0,0,9,0,33,29,54
DE55,,352,1,0,0,0,34,0,44,274,285
DE56,,229,2,0,0,0,19,0,58,54,178
DE65,,184,1,0,0,0,14,0,50,151,47
DE72,,143,2,0,0,54,10,0,30,0,260
DE73,,20,1,0,0,20,10,0,10,0,135
DE74,,84,1,0,50,12,6,0,17,0,46
DE75,,36,0,0,0,0,10,0,40,0,76
DH1,,536,1,0,609,0,26,0,27,0,211
DH2,,147,1,0,228,0,9,0,44,0,110
DH3,,332,0,0,230,0,13,0,23,0,180
DH4,,175,0,0,119,0,11,0,36,5,22
DH5,YES,102,3,0,83,0,12,0,33,0,0
DH6,,122,0,0,143,0,14,0,21,0,117
DH7,,265,0,0,279,0,24,0,17,0,93
DH8,YES,53,1,0,0,0,20,0,10,0,0
DH9,,21,0,0,62,0,21,0,24,0,103
DL1,,274,1,1,245,14,17,0,6,29,0
DL2,,170,0,0,155,0,14,0,21,99,43
DL3,,300,2,27,297,37,19,8,16,159,0
DL4,,0,0,0,120,0,3,0,33,0,26
DL5,,120,1,0,21,0,16,0,0,0,0
DL6,,54,0,0,39,4,8,0,13,0,18
DL7,,116,2,0,122,15,13,12,8,0,38
DL8,,36,1,0,76,0,17,0,12,0,19
DL9,YES,42,0,0,76,0,8,0,13,0,0
DL10,,105,2,0,86,0,11,0,27,0,60
DL11,,0,0,0,0,0,4,0,0,0,0
DL12,YES,177,0,0,29,0,9,0,11,0,0
DL13,,64,0,0,95,0,14,0,14,0,115
DL14,,241,1,0,63,0,25,0,8,0,68
DL15,,316,2,0,99,0,13,0,31,0,34
DL16,,238,1,0,58,0,14,0,14,0,15
DL17,,0,0,0,130,0,10,0,20,0,19
DN1,,6,0,0,22,0,4,0,0,0,0
DN2,,37,0,0,27,0,9,0,0,0,0
DN3,,32,2,0,57,0,14,0,0,0,0
DN4,,0,1,0,0,0,21,0,0,0,0
DN5,,85,3,0,96,0,21,0,0,0,0
